Geographic_Level,Geographic_Name,Demographic_Level,Demographic_Name,Indicator_Label,Indicator_Category_Label,Month_Week,Week_Ending,ND_Weekly_Estimate,CI_Half_width_95pct,n_unweighted,Suppression_Flag,Current_Season_Week_Ending,Influenza_Season,Legend,95 CI (%),Indicator_Category_Label_Sort,Demographic_Level_Sort,Demographic_Name_Sort,Geographic_Sort,Season_Sort,Legend_Sort
Region,Region 10,Overall,Overall,Up-to-date,Received a vaccination,October,,26.9,3.3,2599,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, Region 10, Overall",23.6 - 30.2,1,1,1,11,2,2110101
National,National,Age,18-29 years,Up-to-date,Received a vaccination,October,,15.5,1.6,6436,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Age (6 Level): 18-29 years",13.9 - 17.1,1,4,2,1,2,2010402
National,National,Age,30-39 years,Up-to-date,Received a vaccination,October,,17.6,1.8,6293,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Age (6 Level): 30-39 years",15.8 - 19.4,1,4,4,1,2,2010404
National,National,Age,40-49 years,Up-to-date,Received a vaccination,October,,22.3,2.5,5838,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Age (6 Level): 40-49 years",19.8 - 24.8,1,4,5,1,2,2010405
National,National,Age,50-64 years,Up-to-date,Received a vaccination,October,,25.9,1.8,10938,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Age (3 Level): 50-64 years",24.1 - 27.7,1,3,6,1,2,2010306
National,National,Age,65-74 years,Up-to-date,Received a vaccination,October,,41.5,2.8,7168,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Age (6 Level): 65-74 years",38.7 - 44.3,1,4,8,1,2,2010408
National,National,Age,75+ years,Up-to-date,Received a vaccination,October,,43.6,3.7,3639,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Age (6 Level): 75+ years",39.9 - 47.3,1,4,12,1,2,2010412
National,National,Age,18-49 years,Up-to-date,Received a vaccination,October,,18.2,1.1,18567,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Age (3 Level): 18-49 years",17.1 - 19.3,1,3,3,1,2,2010303
National,National,Age,60+ years,Up-to-date,Received a vaccination,October,,38.3,1.8,14996,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Age (1 Level): 60+ years",36.5 - 40.1,1,2,10,1,2,2010210
National,National,Age,65+ years,Up-to-date,Received a vaccination,October,,42.4,2.2,10807,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Age (3 Level): 65+ years",40.2 - 44.6,1,3,11,1,2,2010311
National,National,Race/Ethnicity,"White, Non-Hispanic",Up-to-date,Received a vaccination,October,,28.2,1.1,26010,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Race/Ethnicity: White, Non-Hispanic",27.1 - 29.3,1,10,29,1,2,2011029
National,National,Race/Ethnicity,"Black, Non-Hispanic",Up-to-date,Received a vaccination,October,,22.8,2.8,3914,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Race/Ethnicity: Black, Non-Hispanic",20 - 25.6,1,10,24,1,2,2011024
National,National,Race/Ethnicity,Hispanic,Up-to-date,Received a vaccination,October,,17.2,2.2,5200,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Race/Ethnicity: Hispanic",15 - 19.4,1,10,25,1,2,2011025
National,National,Race/Ethnicity,"Asian, Non-Hispanic",Up-to-date,Received a vaccination,October,,28.4,5.1,1796,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Race/Ethnicity: Asian, Non-HIspanic",23.3 - 33.5,1,10,23,1,2,2011023
National,National,Race/Ethnicity,"American Indian/Alaska Native, Non-Hispanic",Up-to-date,Received a vaccination,October,,20.1,7.1,569,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Race/Ethnicity: American Indian/Alaska Native, Non-HIspanic",13 - 27.2,1,10,22,1,2,2011022
National,National,Race/Ethnicity,"Pacific Islander/Native Hawaiian, Non-Hispanic",Up-to-date,Received a vaccination,October,,,,,1,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Race/Ethnicity: Pacific-Islander/Native Hawaiian, Non-HIspani",,1,10,28,1,2,2011028
National,National,Race/Ethnicity,"Other, Non-Hispanic",Up-to-date,Received a vaccination,October,,22,6,1445,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Race/Ethnicity: Other, Non-HIspanic",16 - 28,1,10,27,1,2,2011027
National,National,Disability Status,Yes,Up-to-date,Received a vaccination,October,,28.3,3,4194,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Disability Status: Yes",25.3 - 31.3,1,6,37,1,2,2010637
National,National,Disability Status,No,Up-to-date,Received a vaccination,October,,24.9,1,36030,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Disability Status: No",23.9 - 25.9,1,6,38,1,2,2010638
National,National,Health Insurance,Insured,Up-to-date,Received a vaccination,October,,27.4,1,36184,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Health Insurance: Insured",26.4 - 28.4,1,8,16,1,2,2010816
National,National,Health Insurance,Uninsured,Up-to-date,Received a vaccination,October,,8.1,2,3016,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Health Insurance: Uninsured",6.1 - 10.1,1,8,17,1,2,2010817
National,National,Sex,Male,Up-to-date,Received a vaccination,October,,21.8,1.3,18942,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Sex: Male",20.5 - 23.1,1,11,30,1,2,2011130
National,National,Sex,Female,Up-to-date,Received a vaccination,October,,28.5,1.3,20995,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Sex: Female",27.2 - 29.8,1,11,31,1,2,2011131
National,National,Gender Identity,Transgender/Nonbinary,Up-to-date,Received a vaccination,October,,21.9,4.8,1054,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Gender Identity: Transgender/Nonbinary",17.1 - 26.7,1,7,15,1,2,2010715
National,National,Gender Identity,Cisgender,Up-to-date,Received a vaccination,October,,25.3,1,36984,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Gender Identity: Cisgender",24.3 - 26.3,1,7,14,1,2,2010714
National,National,Gender Identity,Don't Know/Refused,Up-to-date,Received a vaccination,October,,26.4,4.3,2001,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Gender Identity: Don't Know/Refused",22.1 - 30.7,1,7,39,1,2,2010739
National,National,Urbanicity,Urban (MSA Principal City),Up-to-date,Received a vaccination,October,,25,1.5,15400,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Urbanicity: Urban MSA Principal City",23.5 - 26.5,1,13,36,1,2,2011336
National,National,Urbanicity,Suburban (MSA Non-Principal City),Up-to-date,Received a vaccination,October,,26.5,1.3,17215,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Urbanicity: Suburban (MSA Non-Principal City)",25.2 - 27.8,1,13,35,1,2,2011335
National,National,Urbanicity,Rural (Non-MSA),Up-to-date,Received a vaccination,October,,20.9,2,7697,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Urbanicity: Rural (Non-MSA)",18.9 - 22.9,1,13,34,1,2,2011334
