Geography_Name,geography_level,geography_level_sort_order,parent_geography_name,geography_name_order,State,Demographic_Level,Demographic_Name,Demographic_Level_Sort_Order,Demographic_Name_Sort_Order,Month_Week_Order,Week_Ending,MMWR_Year,MMWR_Week,MMWR_Day,Month_Week,MMWRWeek_Display_Order,Month_Display_Order,Current_Season_Week_Ending_Label,Influenza_Season,Point_Estimate,CI_HalfWidth,Upper_CI,Lower_CI,n_unweighted,n_weighted,Legend_Label,Current_Through
National,National,1,National,1,National,Overall,Overall,1,11,140,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,17.9219,0.6816,18.6035,17.2403,2475,71475238,"2019-2020, National. Overall: Overall",2020-06-27
National,National,1,National,1,National,Race/Ethnicity,Hispanic,3,33,140,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,19.6346,1.4647,21.0993,18.1699,419,18184406,"2019-2020, National. Race/Ethnicity: Hispanic",2020-06-27
National,National,1,National,1,National,Race/Ethnicity,All Races/Ethnicities,3,31,140,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,17.9219,0.6816,18.6035,17.2403,2475,71475238,"2019-2020, National. Race/Ethnicity: Overall",2020-06-27
National,National,1,National,1,National,Race/Ethnicity,"White, Non-Hispanic",3,34,140,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,16.5035,0.886,17.3895,15.6175,1480,35998118,"2019-2020, National. Race/Ethnicity: White, Non-Hispanic",2020-06-27
National,National,1,National,1,National,Race/Ethnicity,"Black, Non-Hispanic",3,32,140,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,18.4484,1.0516,19.5,17.3969,264,9776924,"2019-2020, National. Race/Ethnicity: Black, Non-Hispanic",2020-06-27
National,National,1,National,1,National,Race/Ethnicity,"Other, Non-Hispanic",3,35,140,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,20.5614,3.1385,23.6999,17.4229,312,7515790,"2019-2020, National. Race/Ethnicity: Other, Non-Hispanic",2020-06-27
National,National,1,National,1,National,Age,6 months-4 years,2,21,140,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,22.6007,1.904,24.5046,20.6967,863,17944013,"2019-2020, National. Age: 6 months-4 years",2020-06-27
National,National,1,National,1,National,Age,13-17 years,2,23,140,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,14.2938,0.78,15.0737,13.5138,634,20780014,"2019-2020, National. Age: 13-17 years",2020-06-27
National,National,1,National,1,National,Urbanicity,Urban MSA Principal City,4,43,140,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,20.4667,1.785,22.2517,18.6817,647,21763220,"2019-2020, National. Urbanicity: Urban MSA Principal City",2020-06-27
National,National,1,National,1,National,Urbanicity,Rural (Non-MSA),4,41,140,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,14.8939,1.4699,16.3639,13.424,397,8997433,"2019-2020, National. Urbanicity: Rural (Non-MSA)",2020-06-27
National,National,1,National,1,National,Urbanicity,Suburban (MSA Non-Principal City),4,42,140,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,17.3431,0.6497,17.9929,16.6935,1431,40714585,"2019-2020, National. Urbanicity: Suburban (MSA Non-Principal City)",2020-06-27
National,National,1,National,1,National,Age,5-12 years,2,22,140,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,17.7139,0.877,18.5909,16.837,978,32751211,"2019-2020, National. Age: 5-12 years",2020-06-27
Alabama,State,2,National,2,Alabama,Overall,Overall,1,11,240,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,22.8803,7.8176,30.698,15.0627,71,2042155,"2019-2020, Alabama. Overall: Overall",2020-06-27
Alaska,State,2,National,3,Alaska,Overall,Overall,1,11,340,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,17.4823,2.5659,20.0483,14.9164,75,468509,"2019-2020, Alaska. Overall: Overall",2020-06-27
Arizona,State,2,National,4,Arizona,Overall,Overall,1,11,440,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,17.1822,4.9829,22.1652,12.1993,42,3757133,"2019-2020, Arizona. Overall: Overall",2020-06-27
Arkansas,State,2,National,5,Arkansas,Overall,Overall,1,11,540,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,14.1541,1.8192,15.9734,12.3349,12,272070,"2019-2020, Arkansas. Overall: Overall",2020-06-27
California,State,2,National,6,California,Overall,Overall,1,11,640,2019-10-05,2019,40,7,October Week 1,1,1,2023-10-07,2019-2020,19.2493,1.867,21.1163,17.3823,42,6702440,"2019-2020, California. Overall: Overall",2020-06-27
