Geographic_Level,Geographic_Name,Demographic_Level,Demographic_Name,Indicator_Label,Indicator_Category_Label,Month_Week,Week_Ending,ND_Weekly_Estimate,CI_Half_width_95pct,n_unweighted,Suppression_Flag,Current_Season_Week_Ending,Influenza_Season,Legend,95 CI (%),Indicator_Category_Label_Sort,Demographic_Level_Sort,Demographic_Name_Sort,Geographic_Sort,Season_Sort,Legend_Sort
State,Virginia,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,,13.6,3.3522,622,0,11/18/2023 12:00:00 AM,2023-2024,"2023-2024, Virginia, Overall (18+ years)",10.2 - 17.0,2,1,1,61,3,3610101
State,Virginia,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,,15.43,3.4697,622,0,11/18/2023 12:00:00 AM,2023-2024,"2023-2024, Virginia, Overall (18+ years)",12.0 - 18.9,3,1,1,61,3,3610101
State,Virginia,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,,43.01,2.8322,4125,0,11/18/2023 12:00:00 AM,2023-2024,"2023-2024, Virginia, Overall (18+ years)",40.2 - 45.8,1,1,1,61,3,3610101
State,Virginia,Overall,18+ years,Up-to-date,Yes,November Week 3,,43.01,2.8322,4125,0,11/18/2023 12:00:00 AM,2023-2024,"2023-2024, Virginia, Overall (18+ years)",40.2 - 45.8,,1,1,61,3,3610101
State,Washington,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,,28.78,11.6499,123,0,11/18/2023 12:00:00 AM,2023-2024,"2023-2024, Washington, Overall (18+ years)",17.1 - 40.4,4,1,1,62,3,3620101
State,Washington,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,,13.54,8.3651,123,0,11/18/2023 12:00:00 AM,2023-2024,"2023-2024, Washington, Overall (18+ years)",5.2 - 21.9,2,1,1,62,3,3620101
State,Washington,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,,11.87,6.4367,123,0,11/18/2023 12:00:00 AM,2023-2024,"2023-2024, Washington, Overall (18+ years)",5.4 - 18.3,3,1,1,62,3,3620101
State,Washington,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,,45.81,8.2311,1245,0,11/18/2023 12:00:00 AM,2023-2024,"2023-2024, Washington, Overall (18+ years)",37.6 - 54.0,1,1,1,62,3,3620101
State,Washington,Overall,18+ years,Up-to-date,Yes,November Week 3,,45.81,8.2311,1245,0,11/18/2023 12:00:00 AM,2023-2024,"2023-2024, Washington, Overall (18+ years)",37.6 - 54.0,,1,1,62,3,3620101
State,West Virginia,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,,41.18,6.5554,323,0,11/18/2023 12:00:00 AM,2023-2024,"2023-2024, West Virginia, Overall (18+ years)",34.6 - 47.7,4,1,1,63,3,3630101
State,West Virginia,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,,12.16,4.5276,323,0,11/18/2023 12:00:00 AM,2023-2024,"2023-2024, West Virginia, Overall (18+ years)",7.6 - 16.7,2,1,1,63,3,3630101
State,West Virginia,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,,11.67,4.1476,323,0,11/18/2023 12:00:00 AM,2023-2024,"2023-2024, West Virginia, Overall (18+ years)",7.5 - 15.8,3,1,1,63,3,3630101
State,West Virginia,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,,34.99,3.7797,1810,0,11/18/2023 12:00:00 AM,2023-2024,"2023-2024, West Virginia, Overall (18+ years)",31.2 - 38.8,1,1,1,63,3,3630101
State,West Virginia,Overall,18+ years,Up-to-date,Yes,November Week 3,,34.99,3.7797,1810,0,11/18/2023 12:00:00 AM,2023-2024,"2023-2024, West Virginia, Overall (18+ years)",31.2 - 38.8,,1,1,63,3,3630101
State,Wisconsin,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,,34.3,9.538,148,0,11/18/2023 12:00:00 AM,2023-2024,"2023-2024, Wisconsin, Overall (18+ years)",24.8 - 43.8,4,1,1,64,3,3640101
State,Wisconsin,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,,12.9,5.9449,148,0,11/18/2023 12:00:00 AM,2023-2024,"2023-2024, Wisconsin, Overall (18+ years)",7.0 - 18.8,2,1,1,64,3,3640101
State,Wisconsin,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,,15.71,6.7371,148,0,11/18/2023 12:00:00 AM,2023-2024,"2023-2024, Wisconsin, Overall (18+ years)",9.0 - 22.4,3,1,1,64,3,3640101
State,Wisconsin,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,,37.09,4.7125,2152,0,11/18/2023 12:00:00 AM,2023-2024,"2023-2024, Wisconsin, Overall (18+ years)",32.4 - 41.8,1,1,1,64,3,3640101
State,Wisconsin,Overall,18+ years,Up-to-date,Yes,November Week 3,,37.09,4.7125,2152,0,11/18/2023 12:00:00 AM,2023-2024,"2023-2024, Wisconsin, Overall (18+ years)",32.4 - 41.8,,1,1,64,3,3640101
State,Wyoming,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,,42.54,6.8285,276,0,11/18/2023 12:00:00 AM,2023-2024,"2023-2024, Wyoming, Overall (18+ years)",35.7 - 49.4,4,1,1,65,3,3650101
State,Wyoming,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,,7.05,3.0168,276,0,11/18/2023 12:00:00 AM,2023-2024,"2023-2024, Wyoming, Overall (18+ years)",4.0 - 10.1,2,1,1,65,3,3650101
State,Wyoming,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,,18.35,5.4521,276,0,11/18/2023 12:00:00 AM,2023-2024,"2023-2024, Wyoming, Overall (18+ years)",12.9 - 23.8,3,1,1,65,3,3650101
State,Wyoming,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,,32.05,4.0405,2329,0,11/18/2023 12:00:00 AM,2023-2024,"2023-2024, Wyoming, Overall (18+ years)",28.0 - 36.1,1,1,1,65,3,3650101
State,Wyoming,Overall,18+ years,Up-to-date,Yes,November Week 3,,32.05,4.0405,2329,0,11/18/2023 12:00:00 AM,2023-2024,"2023-2024, Wyoming, Overall (18+ years)",28.0 - 36.1,,1,1,65,3,3650101
