Geography_Name,Geography_Level,Demographic_Level,Demographic_Name,Indicator_Label,Indicator Category Label,Influenza_Season,Month_Week,Week_Ending,Current_Season_Week_Ending_Label,Point_Estimate,CI_HalfWidth,n_unweighted,n_weighted,Suppression_Flag,Legend_Label,95 CI (%),Indicator_Category_Label_Sort,Demographic_Level_Sort_Order,Demographic_Name_Sort_Order,geography_name_order,geography_level_sort_order,Season_Sort,Legend_Sort
National,National,Age,6 months-4 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.4472,2.4331,11901,16760547,0,"2023-2024, National. Age: 6 months-4 years",42.3 - 47.2,1,2,3,1,1,1,1010203
National,National,Age,6-23 months,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.5449,4.9097,3800,5537244,0,"2023-2024, National. Age: 6-23 months",49.6 - 59.4,1,2,4,1,1,1,1010204
National,National,Mother's Education,>= College degree,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.4541,2.0512,18064,33079846,0,"2023-2024, National. Mother's Education: >= College degree",43.4 - 47.5,1,3,13,1,1,1,1010313
National,National,Mother's Education,High school or equivalent,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.325,2.8161,5889,10844468,0,"2023-2024, National. Mother's Education: High school or equivalent",29.7 - 35.3,1,3,11,1,1,1,1010311
National,National,Mother's Education,Less than high school,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3303,4.5824,2035,5877765,0,"2023-2024, National. Mother's Education: Less than high school",28.4 - 37.6,1,3,10,1,1,1,1010310
National,National,Poverty Status,"Above Poverty, Income < $75k",4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3178,2.4191,8187,16990389,0,"2023-2024, National. Poverty Status: Above Poverty, Income < $75k",29.4 - 34.2,1,4,15,1,1,1,1010415
National,National,Poverty Status,"Above Poverty, Income >= $75k",4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.4257,1.9493,18796,34056618,0,"2023-2024, National. Poverty Status: Above Poverty, Income >= $75k",40.6 - 44.5,1,4,14,1,1,1,1010414
National,National,Poverty Status,Below Poverty,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3376,3.253,4405,10169736,0,"2023-2024, National. Poverty Status: Below Poverty",30.5 - 37.0,1,4,16,1,1,1,1010416
National,National,Poverty Status,Poverty Status Unknown,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3587,3.3066,4623,9290883,0,"2023-2024, National. Poverty Status: Poverty Status Unknown",32.6 - 39.2,1,4,17,1,1,1,1010417
National,National,Race/Ethnicity,"Black, Non-Hispanic",4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3021,2.9741,3547,9799285,0,"2023-2024, National. Race/Ethnicity: Black, Non-Hispanic",27.2 - 33.2,1,5,18,1,1,1,1010518
National,National,Race/Ethnicity,"White, Non-Hispanic",4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3833,1.8365,19724,34428570,0,"2023-2024, National. Race/Ethnicity: White, Non-Hispanic",36.5 - 40.2,1,5,20,1,1,1,1010520
National,National,Urbanicity,Rural (Non-MSA),4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.2755,2.8332,5818,7988860,0,"2023-2024, National. Urbanicity: Rural (Non-MSA)",24.7 - 30.4,1,6,22,1,1,1,1010622
National,National,Urbanicity,Suburban (MSA Non-Principal City),4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3852,1.8316,18010,39504386,0,"2023-2024, National. Urbanicity: Suburban (MSA Non-Principal City)",36.7 - 40.4,1,6,23,1,1,1,1010623
National,National,Urbanicity,Urban (MSA Principal City),4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.4129,2.2366,12183,23014380,0,"2023-2024, National. Urbanicity: Urban MSA Principal City",39.0 - 43.5,1,6,24,1,1,1,1010624
Region 1,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.4954,4.6103,3286,2814403,0,"2023-2024, Region 1. Overall (6 months-17 years)",44.9 - 54.2,1,1,1,2,2,1,1020101
National,National,Age,12-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3247,2.0023,10568,26083840,0,"2023-2024, National. Age: 12-17 years",30.5 - 34.5,1,2,7,1,1,1,1010207
National,National,Age,13-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3127,2.2058,8167,21537622,0,"2023-2024, National. Age: 13-17 years",29.1 - 33.5,1,2,9,1,1,1,1010209
National,National,Age,5-11 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3924,2.1509,13542,27663238,0,"2023-2024, National. Age: 5-11 years",37.1 - 41.4,1,2,6,1,1,1,1010206
