AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT I,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2023-24,40,5.7,5.4,,5.7,7.2,24,"3,226","1,343","4,083","56,726",> 100%
National,,All,2023-24,41,5.8,5.5,,5.9,7.3,34,"3,339","1,271","4,142","56,893",> 100%
National,,All,2023-24,42,5.9,5.6,,5.9,7.3,51,"3,264","1,328","4,142","56,655",> 100%
National,,All,2023-24,43,6,5.7,,6.1,7.5,44,"3,381","1,245","4,196","56,135",> 100%
National,,All,2023-24,44,6.1,5.8,,5.7,7.1,49,"3,126","1,183","3,942","55,680",> 100%
National,,All,2023-24,45,6.2,5.9,,6.2,7.6,54,"3,339","1,291","4,197","54,933",> 100%
National,,All,2023-24,46,6.3,6,,6.1,7.7,47,"2,969","1,197","3,771","49,206",> 100%
National,,All,2023-24,47,6.4,6.1,,6.1,7.6,61,"2,373",957,"3,001","39,732",83.5%
National,,All,2023-24,48,6.5,6.2,,6.9,8.8,56,"1,609",727,"2,122","23,997",50.4%
National,,All,2022-23,40,5.7,5.3,,6,8.5,28,"3,544","2,194","5,034","59,540",> 100%
National,,All,2022-23,41,5.7,5.4,,6.1,8.5,56,"3,560","2,147","5,084","59,716",> 100%
National,,All,2022-23,42,5.8,5.5,,6.5,8.9,57,"3,830","2,194","5,337","60,076",> 100%
National,,All,2022-23,43,5.9,5.6,,6.3,8.7,96,"3,665","2,242","5,239","60,011",> 100%
National,,All,2022-23,44,6,5.7,,6.4,8.9,156,"3,777","2,247","5,400","61,006",> 100%
National,,All,2022-23,45,6.1,5.8,,6.7,9.1,228,"3,859","2,201","5,573","61,029",> 100%
National,,All,2022-23,46,6.3,5.9,,6.8,9.3,258,"3,950","2,256","5,707","61,604",> 100%
National,,All,2022-23,47,6.4,6,,7.3,9.8,429,"4,310","2,497","6,353","64,609",> 100%
National,,All,2022-23,48,6.5,6.1,,8.4,10.9,851,"4,654","2,593","7,148","65,759",> 100%
National,,All,2022-23,49,6.6,6.2,,9,11.8,"1,026","4,976","3,035","7,900","66,997",> 100%
National,,All,2022-23,50,6.7,6.3,,9,12,"1,048","4,943","3,186","7,995","66,380",> 100%
National,,All,2022-23,51,6.8,6.4,,8.7,11.8,952,"4,993","3,318","8,014","67,947",> 100%
National,,All,2022-23,52,6.9,6.5,,9.1,12.4,991,"5,427","3,658","8,726","70,164",> 100%
National,,All,2022-23,1,6.9,6.6,,9.3,12.7,887,"5,508","3,866","8,766","68,935",> 100%
National,,All,2022-23,2,7,6.7,,8.8,12.1,628,"5,184","3,686","8,050","66,307",> 100%
National,,All,2022-23,3,7.1,6.7,,8.4,11.4,389,"5,005","3,242","7,334","64,113",> 100%
National,,All,2022-23,4,7.1,6.8,,7.8,10.7,273,"4,599","2,907","6,680","62,403",> 100%
National,,All,2022-23,5,7.2,6.8,,7.4,10,144,"4,469","2,639","6,282","62,691",> 100%
National,,All,2022-23,6,7.2,6.8,,7.1,9.4,114,"4,363","2,346","5,924","62,805",> 100%
National,,All,2022-23,7,7.2,6.9,,6.8,9,118,"4,101","2,099","5,538","61,684",> 100%
National,,All,2022-23,8,7.2,6.9,,6.8,8.9,77,"4,129","2,153","5,535","61,977",> 100%
National,,All,2022-23,9,7.2,6.8,,6.6,8.7,65,"3,996","1,992","5,321","61,253",> 100%
National,,All,2022-23,10,7.1,6.8,,6.6,8.5,55,"3,937","1,849","5,171","60,650",> 100%
National,,All,2022-23,11,7.1,6.8,,6.4,8.3,55,"3,832","1,762","5,054","60,943",> 100%
National,,All,2022-23,12,7.1,6.7,,6.5,8.3,53,"3,912","1,666","5,027","60,656",> 100%
National,,All,2022-23,13,7,6.7,,6.2,7.7,45,"3,666","1,443","4,631","60,031",> 100%
National,,All,2022-23,14,6.9,6.6,,6.3,7.8,45,"3,669","1,370","4,595","58,933",> 100%
National,,All,2022-23,15,6.8,6.5,,6.1,7.4,41,"3,585","1,216","4,413","59,525",> 100%
National,,All,2022-23,16,6.8,6.4,,6.4,7.7,34,"3,716","1,190","4,500","58,330",> 100%
National,,All,2022-23,17,6.7,6.3,,6.1,7.3,41,"3,502","1,022","4,182","57,676",> 100%
National,,All,2022-23,18,6.6,6.2,,5.8,6.9,36,"3,339",942,"3,972","57,919",> 100%
National,,All,2022-23,19,6.5,6.1,,5.9,6.8,37,"3,355",835,"3,922","57,690",> 100%
National,,All,2022-23,20,6.4,6,,5.7,6.6,33,"3,212",755,"3,711","56,524",> 100%
National,,All,2022-23,21,6.2,5.9,,5.9,6.7,34,"3,241",735,"3,731","55,615",> 100%
National,,All,2022-23,22,6.1,5.8,,5.6,6.4,41,"3,147",687,"3,645","56,703",> 100%
National,,All,2022-23,23,6,5.7,,5.7,6.4,30,"3,168",631,"3,614","56,160",> 100%
National,,All,2022-23,24,5.9,5.6,,5.3,6,29,"2,948",608,"3,368","56,169",> 100%
National,,All,2022-23,25,5.8,5.5,,5.6,6.2,28,"3,083",575,"3,464","55,665",> 100%
National,,All,2022-23,26,5.8,5.4,,5.2,5.8,23,"2,863",539,"3,244","55,586",> 100%
National,,All,2022-23,27,5.7,5.3,,5.3,5.8,32,"2,925",487,"3,263","55,797",> 100%
National,,All,2022-23,28,5.6,5.3,,5.2,5.8,21,"2,850",506,"3,192","55,419",> 100%
National,,All,2022-23,29,5.6,5.2,,5,5.6,15,"2,750",535,"3,127","55,504",> 100%
National,,All,2022-23,30,5.5,5.2,,5.1,5.7,12,"2,825",542,"3,175","55,445",> 100%
National,,All,2022-23,31,5.5,5.1,,5.3,6,28,"2,916",667,"3,347","55,844",> 100%
National,,All,2022-23,32,5.5,5.1,,5.3,6.1,19,"2,942",747,"3,424","56,373",> 100%
National,,All,2022-23,33,5.5,5.1,,5.4,6.4,22,"3,005",913,"3,583","56,183",> 100%
